,Filmtitel,page_link,Starttermin,Regie,Darsteller,Foto,Verleih,Produktionsland,Trailer
31,Mrs. Taylor's Singing Club ,https://www.kino-zeit.de/node/48466,15.10.2020,Peter Cattaneo,"Kristin Scott Thomas, Sharon Horgan, Emma Lowndes, Amy James-Kelly",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/military-wives-filmbild1.jpg?itok=xc6dMnPQ,Leonine,Großbritannien,www.youtube.com/watch?v=BmDav7mUjMc
32,Oeconomia ,https://www.kino-zeit.de/node/48739,15.10.2020,Carmen Losmann,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/Oeconomia.jpg?itok=YojaJ0S2,Neue Visionen Filmverleih GmbH,Deutschland,www.youtube.com/watch?v=x5ZvsuSjlas
33,"Rojo - Wenn alle schweigen, ist keiner unschuldig ",https://www.kino-zeit.de/node/43353,15.10.2020,Benjámin Naishtat,"Darío Grandinetti, Andrea Frigerio, Alfredo Castro",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2018-08/rojo-filmbild1.jpg?itok=zwzNsOBR,Cine Global Filmverleih,"Argentinien, Deutschland",www.youtube.com/watch?v=4QhqxLA3aH4
34,Sag du es mir ,https://www.kino-zeit.de/node/48412,15.10.2020,Michael Fetter Nathansky,"Christina Große, Marc Ben Puch, Gisa Flake, Hendrik Arnst, Patrick Heinrich, Walid Al-Atiyat",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/sagduesmir_filmstill_04.jpg?itok=tzdtct25,missingFILMs ,Deutschland,www.youtube.com/watch?v=UerHnKI8xZs
35,Tod auf dem Nil ,https://www.kino-zeit.de/node/49615,15.10.2020,Kenneth Branagh,"Kenneth Branagh, Gal Gadot, Armie Hammer, Annette Bening, Sophie Okonedo, Russell Brand, Dawn French",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/tod-auf-dem-nil-1.jpg?itok=PoUkzQSF,The Walt Disney Company (Germany) GmbH ,USA,www.youtube.com/watch?v=kq2EhbDHcx8
36,Von Liebe und Krieg ,https://www.kino-zeit.de/node/50268,15.10.2020,Kasper Torsting,"Tom Wlaschiha, Ulrich Thomsen, Thure Lindhardt, Natalie Madueño, Sebastian Jessen",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/l-u-k.jpg?itok=tBXQDHha,Tamtam Film,"Dänemark, Deutschland, Tschechische Republik",www.youtube.com/watch?v=t406bUnfYGo
37,Bohnenstange ,https://www.kino-zeit.de/node/46389,22.10.2020,Kantemir Balagov,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-05/beanpole-filmbild1.jpg?itok=BM-P5jRA,eksystent distribution filmverleih,Russland,www.youtube.com/watch?v=sJQ0exGsT2k
38,Cortex ,https://www.kino-zeit.de/node/50644,22.10.2020,Moritz Bleibtreu,"Moritz Bleibtreu, Jannis Niewöhner, Wotan Wilke Möhring, Nadja Uhl, Nicholas Ofczarek",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/rev-1-ger_cortex_szenenbilder_dscf1872_high_res_jpeg.jpeg?itok=DmwdvCJp,Warner Bros.,Deutschland,www.youtube.com/watch?v=1rPsZmICIn4
39,Die Stimme des Regenwaldes ,https://www.kino-zeit.de/node/47764,22.10.2020,Niklaus Hilber,"Sven Schelker, Charlotte Heinimann, Matthew Crowley, Daniel Ludwig",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-10/bruno-manser-filmbild1.jpg?itok=FVwVdiKn,Camino Filmverleih GmbH,"Schweiz, Österreich",www.youtube.com/watch?v=8B8O2qNezmE
40,Ema ,https://www.kino-zeit.de/node/44753,22.10.2020,Pablo Larrain,"Gael Garcia Bernal, Mariana Di Girolamo, Santiago Cabrera, Mariana Loyola",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-08/ema_filmstill_09.jpg?itok=EOgm44OM,"Koch Films GmbH, Studiocanal",Chile,www.youtube.com/watch?v=anC_6ALdsEA
41,Kajillionaire ,https://www.kino-zeit.de/node/48596,22.10.2020,Miranda July,"Evan Rachel Wood, Gina Rodriguez, Richard Jenkins, Debra Winger",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/Kajillionaire-filmstill.jpg?itok=NQYTRas8,Universal Pictures International Germany GmbH,USA,www.youtube.com/watch?v=K2J5wHNGiyQ
42,Komm und sieh ,https://www.kino-zeit.de/node/50356,22.10.2020,Elem Klimow,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/Komm-und-sieh-bild1.jpg?itok=xIPHJ3JX,Drop-Out Cinema eG,UdSSR,www.youtube.com/watch?v=8Ab60vCIhh0
43,"Mein Liebhaber, der Esel & ich ",https://www.kino-zeit.de/node/50818,22.10.2020,Caroline Vignal,"Laure Calamy, Benjamin Lavernhe, Olivia Côte, Marc Fraize",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/meinliebhaberdereselundich-1.jpg?itok=9Rm7p9xo,Capelight Pictures / Wild Bunch,Frankreich,www.youtube.com/watch?v=XNz1ApYHHiA
44,"Regeln am Band, bei hoher Geschwindigkeit ",https://www.kino-zeit.de/node/48463,22.10.2020,Yulia Lokshina,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/REGELNAMBAND_Still_3_%C2%AEwirFILM.png?itok=a7KnFDuj,jip Film & Verleih,Deutschland,www.youtube.com/watch?v=nMr_Fwe2yus
45,The Beach House ,https://www.kino-zeit.de/node/50175,22.10.2020,Jeffrey A. Brown,"Liana Liberato, Noah Le Gros, Jake Weber, Maryann Nagel",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-06/the-beach-house-1.png?itok=53p_Ot1n,"Koch Films GmbH, 24 Bilder",USA,www.youtube.com/watch?v=XAg6O3SOWUM
46,The Great Green Wall ,https://www.kino-zeit.de/node/48568,24.10.2020,Jared P. Scott,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/the-great-green-wall-filmstill5.jpg?itok=WWsEG6JD,Weltkino Filmverleih GmbH,Großbritannien,www.youtube.com/watch?v=rqt-LnBfyXM
47,The Mortuary - Jeder Tod hat eine Geschichte ,https://www.kino-zeit.de/node/50782,22.10.2020,Ryan Spindell,"Clancy Brown, Caitlin Fisher, Christine Kilmer, Ema Horvath",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-10/mortuary_01.jpg?itok=Qd4wQt96,"Capelight Pictures, Central Filmverleih",USA,www.youtube.com/watch?v=uZj7rkYILAs
48,Winterreise ,https://www.kino-zeit.de/node/49515,22.10.2020,"Anders Østergaard, Erzsébet Rácz",Bruno Ganz,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-04/winterreise1.jpg?itok=PbLQ8kd2,Real Fiction Filmverleih,"Dänemark, Deutschland",www.youtube.com/watch?v=zTUppQnK_M0
49,Außer Atem ,https://www.kino-zeit.de/node/17390,29.10.2020,Jean-Luc Godard,"Jean Seberg, Jean-Paul Belmondo, Henri-Jacques Huet, Claude Mansard, Daniel Boulanger",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/news/bild72776.jpg?itok=v0YKU9J-,"Arthaus, STUDIOCANAL GmbH Filmverleih",Frankreich,www.youtube.com/watch?v=cfEEAwMtPiw
50,Black Widow ,https://www.kino-zeit.de/node/48064,29.10.2020,Cate Shortland,"Scarlett Johansson, Florence Pugh, David Harbour, Rachel Weisz, William Hurt, Ray Winstone",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-12/black-widow-filmbild1.jpg?itok=JgfFszOi,The Walt Disney Company Germany GmbH,USA,www.youtube.com/watch?v=YIxBzLAv20g
51,Clara und der magische Drache ,https://www.kino-zeit.de/node/50059,29.10.2020,Aleksandr Klymenko,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-06/lakeside_clara_aushang_clara_liana.jpg?itok=pBWTmSgu,Lakeside Film,Ukraine,www.youtube.com/watch?v=NICPi_c8xAo
52,Der Boandlkramer und die ewige Liebe ,https://www.kino-zeit.de/node/48036,29.10.2020,Joseph Vilsmaier,"Michael Bully Herbig, Hape Kerkeling, Hannah Herzsprung, Sebastian Bezzel, Götz Otto",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/derboandlkramerunddieewigeliebe_sondermotiv_02_300dpi.jpg?itok=VFDysxhW,Leonine,Deutschland,www.youtube.com/watch?v=1FWIORy_auU
53,Glitzer & Staub ,https://www.kino-zeit.de/node/48512,29.10.2020,"Anna Koch, Julia Lemke",,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/GlitzerUndStaub_FlareFilmUndJuliaLemke_still_02.jpg?itok=Zfr4sGfi,"Port-Au-Prince Pictures, 24 Bilder",Deutschland,www.youtube.com/watch?v=hf4SNu-Cdu8
54,"Ruben Brandt, Collector ",https://www.kino-zeit.de/node/42959,29.10.2020,Milorad Krstic,"Gabriella Hámori, Ivan Kamarás, Zalán Makranczi",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2018-07/ruben-brandt-collector-filmbild.jpg?itok=j71gTw5e,Drop-out Cinema,Ungarn,www.youtube.com/watch?v=5dOZpivfNxw
55,Schlaf ,https://www.kino-zeit.de/node/48752,29.10.2020,Michael Venus,"Sandra Hüller, Gro Swantje Kohlhof, Marion Kracht",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-02/Schlaf-filmstill.jpg?itok=87c4M1dI,Salzgeber,Deutschland,www.youtube.com/watch?v=maEJhZNXlH0
56,Schwesterlein ,https://www.kino-zeit.de/node/48704,29.10.2020,"Stéphanie Chuat, Véronique Reymond","Nina Hoss, Lars Eidinger, Marthe Keller, Jens Albinus, Thomas Ostermeier",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-01/schwesterlein_filmstill2.jpg?itok=sP4IFOum,Weltkino Filmverleih,Schweiz,www.youtube.com/watch?v=34pHuhA5-6Y
57,Srbenka ,https://www.kino-zeit.de/node/43411,29.10.2020,Nebojša Slijepčević,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-06/srbenka_5.jpg?itok=G19aDjAE,Rise and Shine Cinema,Kroatien,www.youtube.com/watch?v=UkRO4bB_y-A
58,The Booksellers - Aus Liebe zum Buch ,https://www.kino-zeit.de/node/47837,29.10.2020,D.W. Young,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2019-10/the-booksellers-filmbild1.jpg?itok=8PxZmJPM,Mindjazz Pictures,USA,couldnt find youtube trailer
59,Und morgen die ganze Welt ,https://www.kino-zeit.de/node/50396,29.10.2020,Julia von Heinz,"Mala Emde, Tonio Schneider, Luisa-Céline Gaffron, Andreas Lust",https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-09/umdgw_mala_emde_4_c_seven_elephants_oliver_wolff.jpg?itok=2IvGtCfi,Alamode Filmverleih,Deutschland,www.youtube.com/watch?v=nr6ieHK_sxw
60,Wildherz - Auf der Reise zu mir selbst ,https://www.kino-zeit.de/node/50377,29.10.2020,Caro Lobig,,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/wildherz-1.jpg?itok=OjcDVNPt,"catamaranfilms, barnsteiner-film ",Deutschland,www.youtube.com/watch?v=pw0wxwp-E7Y
61,Yakari - Der Kinofilm ,https://www.kino-zeit.de/node/48753,29.10.2020,"Toby Genkel, Xavier Giacometti",,https://www.kino-zeit.de/sites/default/files/styles/2560_x_1440_header_/public/2020-07/yakari-2.jpg?itok=-n3gZSdH,Leonine,"Belgien, Frankreich, Deutschland",www.youtube.com/watch?v=jTQRG6Ep2S8
